"100-proof (50% A.B.V.) vodka";"Vodka 100-proof"
"Laird's Applejack brandy";"Applejack brandy"
"Lanique rose petal liqueur";"Rose petal liqueur"
"Lapponia cloudberry liqueur";"Cloudberry liqueur"
"Lapponia cranberry liqueur";"Cranberry liqueur"
"Lavender-infused Ketel One vodka";"Vodka lavender infused"
"Leblon cachaca";"Cachaca"
"Lemon";
"Lemon curd";
"Lemon sorbet";
"Lemon thyme (remove stalks)";
"Lemon zest twist";
"Lemonade (English-style)";
"Lemonade/Sprite/7-Up";
"Lemongrass stem (chopped)";
"Lillet Blanc";
"Lime";
"Lime & lemongrass cordial";
"Lime flavoured vodka";"Vodka lime flavoured"
"Luxardo Amaretto di Saschira";"Amaretto"
"Luxardo limoncello liqueur";"Limoncello"
"Luxardo maraschino liqueur";"Maraschino"
"Luxardo sambuca dei cesari";"Sambuca"
"Lychee syrup (from tinned fruit)";
"Macchu pisco";"Pisco"
"Maker's Mark bourbon";"Bourbon"
"Malibu coconut rum liqueur";
"Malt Extract";
"Malt vinegar";
"Mandarine Napolon liqueur";
"Mango pure";
"Manzanilla Sherry";
"Maple syrup";
"Maraschino cherries & syrup";
"Maraschino syrup (from cherry jar)";
"Marie Brizard Anisette";"Anisette"
"Marie Brizard anisette liqueur";"Anisette liqueur"
"Marinated pineapple wedges";
"Marsala wine";
"Martini Rosso sweet vermouth";"Sweet vermouth"
"Martinique agricole rum";
"Martinique cane sugar syrup";
"Mascarpone cheese";
"Matulsalem Oloroso sherry";
"Merlot red wine";
"Mexican 'Squirt' or Caribbean 'Ting' grapefruit soda";
"Mezcal";
"Midori green melon liqueur";
"Milk";
"Mincemeat";
"Mint (menthe) syrup";
"Mint fresh sprigs";
"Mint leaves";
"Monasterium liqueur";
"Monin Almond (orgeat) syrup";"Almond (orgeat) syrup"
"Monin Coconut syrup";"Coconut syrup"
"Monin Ginger syrup";"Ginger syrup"
"Monin Honey syrup";"Honey syrup"
"Monin Lavender sugar syrup";"Lavender sugar syrup"
"Monin Pure Cane sugar syrup (65^0brix, 2:1 sugar/water)";"Cane sugar syrup"
"Monin Vanilla sugar syrup";"Vanilla sugar syrup"
"Mott's Clamato juice";
"Myer's dark Jamaican rum";"Dark Jamaican rum"
"Myer's Planter's Punch rum";
"Natural yoghurt";
"Nocello walnut liqueur";
"Noilly Ambre vermouth";"Ambre vermouth"
"Noilly Prat dry vermouth";"Dry vermouth"
"Oatmeal water";
"Oban 14yo malt whisky";"Whisky (West Highland: Oban, ...)"
"Ocean Spray cranberry juice";"Cranberry juice"
"Old-fashioned bitters";"Bitter old-fashioned"
"Old Tom gin";
"Olive brine (from jarred olive)";
"Opal Nera black sambuca";"Black sambuca"
"Orange-infused Ketel One vodka";"Vodka orange infused"
"Orange flower water";
"Orange marmalade";
"Orange peel";
"Oreo cookies";
"Ouzo 12";"Ouzo"
"Parfait Amour liqueur";
"Passion fruit";
"Passion fruit juice";
"Passion fruit syrup";
"Passoa passion fruit liqueur";
"Peach bitters";"Bitter peach"
"Peach Tree peach schnapps";"Peach schnapps"
"Pear flavoured vodka";"Vodka pear flavoured"
"Pedro Ximnez sherry";
"Pepper-infused Ketel One vodka";"Vodka pepper infused"
"Pernod anis";
"Perrier Jouet brut champagne";"Champagne"
"Peychaud's aromatic bitters";"Bitter Peychaud's aromatic"
"Physalis fruits";
"Pimm's No.1 Cup";
"Pineapple (fresh)";
"Pineapple flavoured vodka";"Vodka pineapple flavoured"
"Pineapple marinade";
"Pinot Grigio white wine";"Pinot Gris white wine"
"Pisang Ambon liqueur";
"Plum (stoned, peeled & chopped)";
"Plum wine";
"Poire William eau de vie";
"Poire William pear liqueur";
"Polska Wisniwka cherry liqueur";
"Pomegranate (grenadine) syrup";
"Pomegranate juice";
"Pressed apple juice";
"Pressed pear juice";
"Prosecco sparkling wine";
"Prune syrup (from tinned fruit)";
"Pusser's Navy rum";
"Quince mustard jam";
"Raisins";
"Raspberries";
"Raspberry flavoured vodka";"Vodka rasberry flavoured"
"Raspberry syrup (1 juice to 1 sugar)";"Raspberry syrup (1:1)"
"Red bell pepper";
"Red chilli (thin slice)";
"Red grapes";
"Red onion rings";
"Red peppercorns";
"Redcurrants";
"Regan's Orange #6";"Bitter orange (Regan's)"
"Rhubarb & orange preserve";
"Rhubarb syrup (from tinned fruit)";
"Ricard Pastis";
"Ripe peach (skinned and diced)";
"Rose's lime cordial";
"Rose syrup";
"Rose water";
"Rosemary sprig";
"Ruby grapefruit juice";
"Ruby red grapefruit";
"Runny honey";
"Rye whiskey";"Whiskey (rye)"
"Sage leaves";
"Sailor Jerry spiced rum";
"Sake";
"Salt";
"Sauternes dessert wine";
"Sauvignon blanc wine";
"Seedless white grapes";
"Shiraz red wine";
"Shochu";
"Slivovitz plum brandy";
"Sloe Gin liqueur";
"Smooth peanut butter";
"Soda (club soda)";
"Soda from siphon";
"Soho lychee liqueur";
"Sorrel (hibiscus flowers)";
"Sorrelade (see sorrelade recipe)";
"Sour apple liqueur";
"Sour pineapple liqueur";
"Southern Comfort liqueur";
"Soy sauce";
"Sparkling mineral water";
"Spey malt whisky";"Whisky (Spey)"
"Spumante (or brut champagne)";
"St-Germain elderflower liqueur";
"Star anise";
"Stone's green ginger wine";
"Stoned cherries";
"Strawberries (hulled)";
"Strega liqueur";
"Swedish Punch liqueur";
"Sweet fruit juice";
"Sweetcorn (canned)";
